,sentences
1,  இது தவறு என நீங்கள் கருதினால் இங்கே தெரிவியுங்கள் அல்லது எனக்கு மின்னஞ்சல் செய்யுங்கள்
2,  தொழில்நுட்பம் தொடர்புடைய கட்டுரைகள் இந்த பக்க வகையில் அடங்கும் 
3,  மேலே குறிப்பிட்ட எண்களை ஒன்று இரண்டு மூன்று நான்கு ஐந்து 
4,  சிந்து நதி  இந்தியா பாகிஸ்தான் ஆகிய நாடுகளில் ஓடும் முக்கிய நதி 
5,  கண்டி நகரில் உள்ள புகழ் பெற்ற பௌத்த ஆலயம் ஆகும் 
6,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர் 
7,  எழுத்துப் பிழை திருத்தம் செய்யும் போது 
8,  பாலச்சந்தர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் கமல்ஹாசன் மற்றும் பலரும் நடித்துள்ளனர் 
9,  கிருஷ்ணன் பஞ்சு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் ராஜேந்திரன் மற்றும் பலரும் நடித்துள்ளனர் 
10,  யாருக்கும் மாற்றுக் கருத்து இருந்தால் பின்னர் மாற்றிக் கொள்ளலாம் 
11,  இந்த நிலையில் முன்னேற்றம் ஏற்பட்டு வருகின்றது என நினைக்கிறேன் 
12,  இராம.கி செல்வா போன்றவர்கள் இதற்கு இணையத்தில் உதவியாக இருக்கின்றார்கள் 
13,  தமிழகத்தில் அடிமை முறை ஆசிரியர் ஆ.சிவசுப்பிரமணியம் வெளியீடு  காலச்சுவடு பதிப்பகம் நாகர்கோவில் 
14,  சிறப்பாக இதன் இலை தமிழ்நாடு உட்பட தென்னிந்திய 
15,  மஞ்சள் – சீனாவின் முதன்மையான ஆறுகளில் ஒன்று 
16,  அப்படி ஒரு கையேடு ஏற்கனவே உள்ளதா 
17,  இருப்பினும் இணையத் தொடர்பு விரிவு த.வி 
18,  கோபாலகிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் ஜெயலலிதா மற்றும் பலரும் நடித்துள்ளனர் 
19,  உங்களின் ஈடுபாடு மிகவும் மகிழ்ச்சி அளிக்கிறது 
20,  உலகின் முதல் எழுத்து முறைமை 
21,  மாநிலத்தில் அமைந்துள்ள கோயம்புத்தூர் மாவட்டத்தில் இருக்கும் ஒரு ஊர் ஆகும் 
22,  வீச்சு என்பது மிக நல்ல சொல் உடனே புரியும் சொல்லும் கூட 
23,  இவரது முதற் கவிதை திருகோணமலையில் இருந்து 
24,  தற்போதைய நிலையில் ஒன்றும் தெளிவில்லை. டெரன்ஸ் 
25,  எ.கா கனடா அமெரிக்கா போன்ற நாடுகளின் தகவல் சட்டங்கள் 
26,  ஆனால் விக்கிபீடியா ஓர் அகராதி அல்ல 
27,  எனக்கு யார் மீதும் ஐயம் இல்லை 
28,  இந்தக் கட்டுரையில் தேவையான தகவல்கள் உள்ளன 
29,  தொழில்நுட்ப அறிஞர்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
30,  இது கட்டுரையின் உள்ளடக்கம் இருக்கும் தொகுத்தல் வசதிகள் இருக்கும் பக்கத்துக்கு இட்டு செல்லும் 
31,  ரவி வேளாண்மை கட்டுரையில் நீங்கள் சொல்வது வேளாண்மை கட்டுரை உலக நோக்கு உடையது தான் 
32,  என்ற ஒரு தொலைவு எண் உள்ளது 
33,  காவிரி  தென்னிந்தியாவின் முக்கிய ஆறு 
34,  த.வி.யில் தமிழ் பற்றிய கட்டுரையைப் பார்த்தேன் 
35,  பாலச்சந்தர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன் ஸ்ரீதேவி மற்றும் பலரும் நடித்துள்ளனர் 
36,  சாமி இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் ராமசாமி மற்றும் பலரும் நடித்துள்ளனர் 
37,  திரைப்படங்கள் மீது மிகுந்த ஈடுபாடு கொண்ட ராவ் மற்றும் பலரும் நடித்துள்ளனர் 
38,  திபெத்திய மொழி பௌத்த இலக்கியங்களில் மிக முக்கிய பங்கு வகிக்கிறது 
39,  நன்றி சுந்தர் செல்வா ரவி கணேஷ் 
40,  ஐக்கிய அமெரிக்காவின் தெற்குப் பகுதியில் அமைந்துள்ளது 
41,  இப் பகுதியில் அதிக அளவில் பாறை ஓவியங்கள் காணப்படுகின்றன 
42,  தமிழிலும் ஆங்கிலத்திலும் பல ஆய்வுக் கட்டுரைகளையும் நூல்களும் எழுதி வெளியிட்டார் 
43,  ஒரு ஏற்பாடு என்றே புரிந்து கொள்ள முடிகிறது 
44,  இராம.கி யின் பரிந்துரை பொருந்தாது என்பது என் கருத்து 
45,  அல்லது இதைவிட சிறந்த தமிழ்ச் சொல் உள்ளதா 
46,  ஒரு மாதம் தேவையில்லை எனபது என் கருத்து. டெரன்ஸ் 
47,  தவிர அது தான் அவரது அதிகாரப்பூர்வ பெயரும் கூட 
48,  ராவ் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ராவ் மற்றும் பலரும் நடித்துள்ளனர்  
49,  இவரது பெயரில் மட்டும் தலைப்பு அமைவது தான் வழமை. டெரன்ஸ் 
50,  இன்னும் சில பகுதிகள் இன்னும் சேர்க்க வேண்டும் எ.கா தமிழர் மெய்யியல் தமிழர் சட்டம் 
51,  லைடன் என்று வேறு நாடுகளில் ஊர்கள் இருக்கின்றன 
52,  ஆனால் அதற்கான இடம் விக்கிபீடியா அல்ல 
53,  கோபி ரவி தங்கள் கருத்துக்களுக்கு நன்றி 
54,  இங்கு பொருந்தாது என்பதும் நீக்க வேண்டும் என்பதும் என் பரிந்துரை 
55,  தொழில்நுட்ப அறிஞர்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
56,  இது தவிர இவர் பற்றிய வேறு தகவல்களும் அதிகம் இல்லை எனலாம் 
57,  தற்போது இது போன்று ஆராய்ந்து எழுதும் பங்களிப்பாளர்கள் இல்லாததால் இது போன்ற கூறுகளை தற்போது விக்சனரியில் காண இயலாது 
58,  விஜயன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர் 
59,  ஹரி கிருஷ்ணன் செய்ய வேண்டிய ஒரு பெரும் திருத்தம் 
60,  பல்வேறு கருவிகள் பல்வேறு திட்டங்கள் பல்வேறு சேவை நிறுவனங்கள் 
61,  அவரை பற்றிய ஒரு அறிமுக குறிப்பு அவரது தளத்தில் உள்ளது சுட்டி 
62,  இராம.கி அவர்களின் பரிந்துரை சொற்கள் பொது பயன்பாட்டில் இல்லாமல் இருக்கலாம் 
63,  இக்கட்டுரையின் தலைப்பு மகாயான பௌத்தம் என்றே இருக்கலாம் 
64,  சூரியன் இந்திரன் சந்திரன் வழிபட்ட தலமென்பது தொன்நம்பிக்கை ஐதிகம் 
65,  தென்னிந்தியாவின் கர்நாடக மாநிலத்தில் உள்ள ஓர் ஆறு ஆகும் 
66,  இந்தியா பாகிஸ்தான் இலங்கை போன்ற நாடுகளில் மிகப் பிரபலமான விளையாட்டு இது 
67,  பயனர்கள் இலகுவாக இணைந்து பங்களிக்க ஏதுவாக இருக்க வேண்டும் 
68,  இதற்கு பதில் தந்து விட்டு வார்ப்புருவை நீக்கும் 
69,  அப்படி மேலாண்மை பேச்சு என்று ஒரு உதாரணம் கொடுக்க முடியுமா 
